Sl No,NO OF ACCIDENT REPORTED ON THIS CORRIDOR UNDER JURISDICTION,FIR NO,Latitude,Longitude,Distance,NO. OF VEHICLE,Date,DAY OF THE WEEK,Month of the year,Year of Accident,Time,D/N,PATTERN OF COLLISION,TYPE OF COLLISION,TYPE OF VEHICLE-1,TYPE OF VEHICLE-2,FATAL,GRIEVOUS,MINOR,SEVERITY,GEOMETRY,PRESENCE OF MEDIAN,PRESENCE OF SHOULDER,PRESENCE OF FOOTPATH,SIDE ROAD,JN/NOT,day_night_label,year,month_num,day,day_of_week,week_of_year,hour,minute,time_bucket,PATTERN_OF_COLLISION_CODE,PATTERN_OF_COLLISION_LABEL,PATTERN_OF_COLLISION_UNKNOWN,TYPE_OF_COLLISION_CODE,TYPE_OF_COLLISION_LABEL,TYPE_OF_COLLISION_UNKNOWN,TYPE_OF_VEHICLE_1_CODE,TYPE_OF_VEHICLE_1_LABEL,TYPE_OF_VEHICLE_1_UNKNOWN,TYPE_OF_VEHICLE_2_CODE,TYPE_OF_VEHICLE_2_LABEL,TYPE_OF_VEHICLE_2_UNKNOWN,is_weekend,is_night,severity_target
11.0,Kazhakootam,1667/2021,8.587224,76.876943,1.7,2.0,2021-06-29,Tuesday,June,2021,9.3,D,2.0,2,3.0,1.0,0.0,1.0,0.0,G,curve,no,yes,no,0.0,yes,Day,2021.0,6,29,Tuesday,26,9.0,30.0,6-12,2,Vehicle to Vehicle,False,2,Hit from Side,False,3,Car/Jeep/Taxi,False,1,Motorised Two-Wheeler,False,0,0,Grievous
12.0,Kazhakootam,1167/2023,8.58720080430825,76.8722329648038,1.2,2.0,2023-08-16,Wednesday,August,2023,9.3,D,2.0,5,1.0,1.0,0.0,1.0,0.0,G,curve,no,yes,no,1.0,no,Day,2023.0,8,16,Wednesday,33,9.0,30.0,6-12,2,Vehicle to Vehicle,False,5,Head On Collision,False,1,Motorised Two-Wheeler,False,1,Motorised Two-Wheeler,False,0,0,Grievous
13.0,Kazhakootam,1198/2023,8.582209,76.86328,0.1,2.0,2023-03-06,Monday,March,2023,22.0,N,2.0,2,3.0,1.0,0.0,1.0,0.0,G,straight,no,yes,yes,0.0,yes,Night,2023.0,3,6,Monday,10,22.0,0.0,18-24,2,Vehicle to Vehicle,False,2,Hit from Side,False,3,Car/Jeep/Taxi,False,1,Motorised Two-Wheeler,False,0,1,Grievous
14.0,Kazhakootam,1398/2023,8.582215,76.863272,0.1,2.0,2023-09-22,Friday,September,2023,17.2,D,2.0,2,3.0,1.0,0.0,1.0,1.0,G,straight,no,yes,yes,0.0,yes,Day,2023.0,9,22,Friday,38,17.0,20.0,12-18,2,Vehicle to Vehicle,False,2,Hit from Side,False,3,Car/Jeep/Taxi,False,1,Motorised Two-Wheeler,False,0,0,Grievous
15.0,Kazhakootam,1402/2023,8.58720080430825,76.8722329648038,1.2,2.0,2023-09-27,Wednesday,September,2023,18.45,N,2.0,2,1.0,1.0,0.0,1.0,0.0,G,curve,no,yes,no,1.0,no,Night,2023.0,9,27,Wednesday,39,18.0,45.0,18-24,2,Vehicle to Vehicle,False,2,Hit from Side,False,1,Motorised Two-Wheeler,False,1,Motorised Two-Wheeler,False,0,1,Grievous
16.0,Kazhakootam,1406/2023,8.617304,76.897317,6.4,2.0,2023-09-16,Saturday,September,2023,17.15,D,2.0,1,3.0,1.0,0.0,1.0,0.0,G,straight,no,yes,no,1.0,no,Day,2023.0,9,16,Saturday,37,17.0,15.0,12-18,2,Vehicle to Vehicle,False,1,Hit from Back,False,3,Car/Jeep/Taxi,False,1,Motorised Two-Wheeler,False,1,0,Grievous
17.0,Kazhakootam,288/2022,8.587267,76.876905,1.7,1.0,2022-02-17,Thursday,February,2022,17.45,D,3.0,8,12.0,11.0,0.0,1.0,0.0,G,curve,no,yes,no,0.0,yes,Day,2022.0,2,17,Thursday,7,17.0,45.0,12-18,3,Vehicle to Pedestrian,False,8,Hit Pedestrian,False,12,Unknown Vehicle,False,11,Pedestrian,False,0,0,Grievous
18.0,Kazhakootam,385/2022,8.58634688980051,76.870816711805,1.0,2.0,2022-01-06,Thursday,January,2022,7.5,D,2.0,5,4.0,1.0,0.0,2.0,0.0,G,straight,no,yes,no,1.0,no,Day,2022.0,1,6,Thursday,1,7.0,50.0,6-12,2,Vehicle to Vehicle,False,5,Head On Collision,False,4,Bus,False,1,Motorised Two-Wheeler,False,0,0,Grievous
19.0,Kazhakootam,681/2022,8.582227,76.863507,0.1,2.0,2022-05-10,Tuesday,May,2022,21.3,N,2.0,1,1.0,3.0,0.0,1.0,0.0,G,straight,no,yes,yes,0.0,yes,Night,2022.0,5,10,Tuesday,19,21.0,30.0,18-24,2,Vehicle to Vehicle,False,1,Hit from Back,False,1,Motorised Two-Wheeler,False,3,Car/Jeep/Taxi,False,0,1,Grievous
20.0,Pothencode,111/2021,8.602554,76.897625,4.8,2.0,2021-01-21,Thursday,January,2021,17.0,D,2.0,5,6.0,1.0,1.0,1.0,0.0,F,straight,no,yes,yes,0.0,yes,Day,2021.0,1,21,Thursday,3,17.0,0.0,12-18,2,Vehicle to Vehicle,False,5,Head On Collision,False,6,Goods Auto/Goods Pick-up Van,False,1,Motorised Two-Wheeler,False,0,0,Fatal
21.0,Pothencode,127/2021,8.62185,76.89966,7.3,2.0,2021-01-24,Sunday,January,2021,13.1,D,2.0,2,1.0,3.0,0.0,0.0,1.0,M,straight,no,yes,no,0.0,no,Day,2021.0,1,24,Sunday,3,13.0,10.0,12-18,2,Vehicle to Vehicle,False,2,Hit from Side,False,1,Motorised Two-Wheeler,False,3,Car/Jeep/Taxi,False,1,0,Minor
22.0,Pothencode,132/2021,8.62986,76.90231,8.3,1.0,2021-01-08,Friday,January,2021,19.0,N,3.0,8,3.0,11.0,0.0,1.0,0.0,G,straight,no,yes,no,1.0,no,Night,2021.0,1,8,Friday,1,19.0,0.0,18-24,3,Vehicle to Pedestrian,False,8,Hit Pedestrian,False,3,Car/Jeep/Taxi,False,11,Pedestrian,False,0,1,Grievous
23.0,Pothencode,150/2021,8.61322,76.89658,6.0,2.0,2021-01-27,Wednesday,January,2021,20.2,N,2.0,5,3.0,1.0,0.0,1.0,0.0,G,straight,no,yes,no,1.0,no,Night,2021.0,1,27,Wednesday,4,20.0,20.0,18-24,2,Vehicle to Vehicle,False,5,Head On Collision,False,3,Car/Jeep/Taxi,False,1,Motorised Two-Wheeler,False,0,1,Grievous
24.0,Pothencode,48/2021,8.63022,76.90245,8.3,2.0,2021-01-09,Saturday,January,2021,16.0,D,2.0,5,3.0,3.0,0.0,0.0,1.0,M,straight,no,yes,no,1.0,no,Day,2021.0,1,9,Saturday,1,16.0,0.0,12-18,2,Vehicle to Vehicle,False,5,Head On Collision,False,3,Car/Jeep/Taxi,False,3,Car/Jeep/Taxi,False,1,0,Minor
25.0,Pothencode,94/2021,8.61922,76.8986,6.9,2.0,2021-01-01,Friday,January,2021,15.0,D,2.0,1,1.0,1.0,0.0,1.0,1.0,G,curve,no,yes,yes,0.0,no,Day,2021.0,1,1,Friday,53,15.0,0.0,12-18,2,Vehicle to Vehicle,False,1,Hit from Back,False,1,Motorised Two-Wheeler,False,1,Motorised Two-Wheeler,False,0,0,Grievous
26.0,Pothencode,297/2021,8.61968414211036,76.8989194580684,7.0,1.0,2021-02-16,Tuesday,February,2021,10.0,D,3.0,8,1.0,11.0,0.0,1.0,0.0,G,straight,no,yes,yes,2.0,no,Day,2021.0,2,16,Tuesday,7,10.0,0.0,6-12,3,Vehicle to Pedestrian,False,8,Hit Pedestrian,False,1,Motorised Two-Wheeler,False,11,Pedestrian,False,0,0,Grievous
27.0,Pothencode,258/2021,8.628539,76.901687,8.1,2.0,2021-02-13,Saturday,February,2021,9.3,D,2.0,2,1.0,1.0,0.0,1.0,0.0,G,straight,no,yes,no,1.0,no,Day,2021.0,2,13,Saturday,6,9.0,30.0,6-12,2,Vehicle to Vehicle,False,2,Hit from Side,False,1,Motorised Two-Wheeler,False,1,Motorised Two-Wheeler,False,1,0,Grievous
28.0,Pothencode,280/2021,8.635268,76.902234,9.0,1.0,2021-02-13,Saturday,February,2021,9.3,D,3.0,8,3.0,11.0,0.0,1.0,0.0,G,straight,no,yes,no,1.0,no,Day,2021.0,2,13,Saturday,6,9.0,30.0,6-12,3,Vehicle to Pedestrian,False,8,Hit Pedestrian,False,3,Car/Jeep/Taxi,False,11,Pedestrian,False,1,0,Grievous
29.0,Pothencode,295/2021,8.602619,76.897657,4.8,2.0,2021-02-09,Tuesday,February,2021,8.3,D,2.0,5,1.0,1.0,0.0,1.0,0.0,G,straight,no,yes,yes,0.0,yes,Day,2021.0,2,9,Tuesday,6,8.0,30.0,6-12,2,Vehicle to Vehicle,False,5,Head On Collision,False,1,Motorised Two-Wheeler,False,1,Motorised Two-Wheeler,False,0,0,Grievous
30.0,Pothencode,340/2021,8.594143,76.887834,3.2,2.0,2021-02-18,Thursday,February,2021,15.3,D,2.0,2,1.0,1.0,0.0,1.0,1.0,G,curve,no,yes,no,2.0,no,Day,2021.0,2,18,Thursday,7,15.0,30.0,12-18,2,Vehicle to Vehicle,False,2,Hit from Side,False,1,Motorised Two-Wheeler,False,1,Motorised Two-Wheeler,False,0,0,Grievous
31.0,Pothencode,347/2021,8.608856,76.896495,5.5,1.0,2021-02-26,Friday,February,2021,19.45,N,3.0,8,1.0,11.0,0.0,1.0,0.0,G,straight,no,yes,no,1.0,no,Night,2021.0,2,26,Friday,8,19.0,45.0,18-24,3,Vehicle to Pedestrian,False,8,Hit Pedestrian,False,1,Motorised Two-Wheeler,False,11,Pedestrian,False,0,1,Grievous
32.0,Pothencode,353/2021,8.621815,76.899632,7.3,1.0,2021-02-24,Wednesday,February,2021,3.0,N,3.0,8,3.0,11.0,0.0,1.0,0.0,G,straight,no,yes,no,0.0,no,Night,2021.0,2,24,Wednesday,8,3.0,0.0,0-6,3,Vehicle to Pedestrian,False,8,Hit Pedestrian,False,3,Car/Jeep/Taxi,False,11,Pedestrian,False,0,1,Grievous
33.0,Pothencode,444/2021,8.622114,76.899857,7.3,1.0,2021-03-16,Tuesday,March,2021,20.3,N,3.0,8,3.0,11.0,0.0,1.0,0.0,G,straight,no,yes,no,0.0,no,Night,2021.0,3,16,Tuesday,11,20.0,30.0,18-24,3,Vehicle to Pedestrian,False,8,Hit Pedestrian,False,3,Car/Jeep/Taxi,False,11,Pedestrian,False,0,1,Grievous
34.0,Pothencode,576/2021,8.602619,76.897657,4.8,2.0,2021-04-09,Friday,April,2021,14.15,D,2.0,5,1.0,1.0,0.0,1.0,0.0,G,straight,no,yes,yes,0.0,yes,Day,2021.0,4,9,Friday,14,14.0,15.0,12-18,2,Vehicle to Vehicle,False,5,Head On Collision,False,1,Motorised Two-Wheeler,False,1,Motorised Two-Wheeler,False,0,0,Grievous
35.0,Pothencode,509/2021,8.602619,76.897657,4.8,2.0,2021-04-09,Friday,April,2021,13.15,D,2.0,2,3.0,1.0,0.0,2.0,0.0,G,straight,no,yes,yes,0.0,yes,Day,2021.0,4,9,Friday,14,13.0,15.0,12-18,2,Vehicle to Vehicle,False,2,Hit from Side,False,3,Car/Jeep/Taxi,False,1,Motorised Two-Wheeler,False,0,0,Grievous
36.0,Pothencode,504/2021,8.602619,76.897657,4.8,2.0,2021-04-11,Sunday,April,2021,13.15,D,2.0,1,6.0,1.0,0.0,0.0,1.0,M,straight,no,yes,yes,0.0,yes,Day,2021.0,4,11,Sunday,14,13.0,15.0,12-18,2,Vehicle to Vehicle,False,1,Hit from Back,False,6,Goods Auto/Goods Pick-up Van,False,1,Motorised Two-Wheeler,False,1,0,Minor
37.0,Pothencode,515/2021,8.596278,76.890536,3.6,2.0,2021-04-01,Thursday,April,2021,19.0,N,2.0,1,1.0,1.0,0.0,1.0,0.0,G,straight,no,yes,no,1.0,no,Night,2021.0,4,1,Thursday,13,19.0,0.0,18-24,2,Vehicle to Vehicle,False,1,Hit from Back,False,1,Motorised Two-Wheeler,False,1,Motorised Two-Wheeler,False,0,1,Grievous
38.0,Pothencode,565/2021,8.597186,76.893411,3.9,2.0,2021-04-10,Saturday,April,2021,18.3,N,2.0,1,3.0,1.0,0.0,1.0,0.0,G,curve,no,yes,no,0.0,yes,Night,2021.0,4,10,Saturday,14,18.0,30.0,18-24,2,Vehicle to Vehicle,False,1,Hit from Back,False,3,Car/Jeep/Taxi,False,1,Motorised Two-Wheeler,False,1,1,Grievous
39.0,Pothencode,476/2021,8.603135,76.897717,4.8,2.0,2021-03-30,Tuesday,March,2021,15.15,D,2.0,2,2.0,1.0,0.0,2.0,0.0,G,straight,no,yes,yes,0.0,yes,Day,2021.0,3,30,Tuesday,13,15.0,15.0,12-18,2,Vehicle to Vehicle,False,2,Hit from Side,False,2,Passenger Auto,False,1,Motorised Two-Wheeler,False,0,0,Grievous
40.0,Pothencode,497/2021,8.597186,76.893411,3.9,2.0,2021-04-06,Tuesday,April,2021,17.45,D,2.0,5,1.0,1.0,0.0,1.0,0.0,G,curve,no,yes,no,0.0,yes,Day,2021.0,4,6,Tuesday,14,17.0,45.0,12-18,2,Vehicle to Vehicle,False,5,Head On Collision,False,1,Motorised Two-Wheeler,False,1,Motorised Two-Wheeler,False,0,0,Grievous
41.0,Pothencode,488/2021,8.589614,76.880895,2.3,2.0,2021-03-15,Monday,March,2021,10.45,D,2.0,2,2.0,1.0,0.0,1.0,0.0,G,curve,no,yes,no,2.0,no,Day,2021.0,3,15,Monday,11,10.0,45.0,6-12,2,Vehicle to Vehicle,False,2,Hit from Side,False,2,Passenger Auto,False,1,Motorised Two-Wheeler,False,0,0,Grievous
42.0,Pothencode,698/2021,8.596298,76.890516,3.6,2.0,2021-04-23,Friday,April,2021,18.2,N,2.0,2,3.0,1.0,0.0,1.0,1.0,G,straight,no,yes,no,1.0,no,Night,2021.0,4,23,Friday,16,18.0,20.0,18-24,2,Vehicle to Vehicle,False,2,Hit from Side,False,3,Car/Jeep/Taxi,False,1,Motorised Two-Wheeler,False,0,1,Grievous
43.0,Pothencode,723/2021,8.597214,76.89343,3.9,2.0,2021-05-03,Monday,May,2021,17.0,D,2.0,2,3.0,1.0,0.0,1.0,0.0,G,curve,no,yes,no,0.0,yes,Day,2021.0,5,3,Monday,18,17.0,0.0,12-18,2,Vehicle to Vehicle,False,2,Hit from Side,False,3,Car/Jeep/Taxi,False,1,Motorised Two-Wheeler,False,0,0,Grievous
44.0,Pothencode,1088/2021,8.61946,76.89884,7.0,2.0,2021-05-18,Tuesday,May,2021,12.3,D,2.0,5,5.0,1.0,0.0,1.0,0.0,G,straight,no,yes,yes,2.0,no,Day,2021.0,5,18,Tuesday,20,12.0,30.0,12-18,2,Vehicle to Vehicle,False,5,Head On Collision,False,5,Mini Bus/Passenger Tempo/Passenger Van,False,1,Motorised Two-Wheeler,False,0,0,Grievous
45.0,Pothencode,1558/2021 ,8.630163,76.902426,8.3,2.0,2021-07-01,Thursday,July,2021,6.0,D,2.0,5,1.0,8.0,1.0,1.0,0.0,F,straight,no,yes,no,1.0,no,Day,2021.0,7,1,Thursday,26,6.0,0.0,6-12,2,Vehicle to Vehicle,False,5,Head On Collision,False,1,Motorised Two-Wheeler,False,8,Truck/Lorry,False,0,0,Fatal
46.0,Pothencode,1677/2021 ,8.607692,76.89653,5.4,2.0,2021-07-08,Thursday,July,2021,13.3,D,2.0,1,3.0,1.0,0.0,3.0,0.0,G,straight,no,yes,no,0.0,no,Day,2021.0,7,8,Thursday,27,13.0,30.0,12-18,2,Vehicle to Vehicle,False,1,Hit from Back,False,3,Car/Jeep/Taxi,False,1,Motorised Two-Wheeler,False,0,0,Grievous
47.0,Pothencode,1734/2021 ,8.630163,76.902426,8.3,2.0,2021-02-22,Monday,February,2021,10.0,D,2.0,2,1.0,2.0,0.0,1.0,0.0,G,straight,no,yes,no,1.0,no,Day,2021.0,2,22,Monday,8,10.0,0.0,6-12,2,Vehicle to Vehicle,False,2,Hit from Side,False,1,Motorised Two-Wheeler,False,2,Passenger Auto,False,0,0,Grievous
48.0,Pothencode,1786/2021 ,8.594151,76.887813,3.2,2.0,2021-06-28,Monday,June,2021,13.0,D,2.0,2,1.0,1.0,0.0,1.0,1.0,G,curve,no,yes,no,2.0,no,Day,2021.0,6,28,Monday,26,13.0,0.0,12-18,2,Vehicle to Vehicle,False,2,Hit from Side,False,1,Motorised Two-Wheeler,False,1,Motorised Two-Wheeler,False,0,0,Grievous
49.0,Pothencode,2098/2021,8.58727,76.877102,1.7,1.0,2021-08-03,Tuesday,August,2021,22.3,D,1.0,4,1.0,0.0,0.0,1.0,0.0,G,curve,no,yes,no,0.0,yes,Day,2021.0,8,3,Tuesday,31,22.0,30.0,18-24,1,Single Vehicle,False,4,Vehicle Overturn/Skidding,False,1,Motorised Two-Wheeler,False,0,Unknown/Out-of-master,True,0,1,Grievous
50.0,Pothencode,2211/2021,8.619417,76.898854,7.0,1.0,2021-08-24,Tuesday,August,2021,12.1,D,3.0,8,1.0,11.0,0.0,1.0,0.0,G,straight,no,yes,no,0.0,no,Day,2021.0,8,24,Tuesday,34,12.0,10.0,12-18,3,Vehicle to Pedestrian,False,8,Hit Pedestrian,False,1,Motorised Two-Wheeler,False,11,Pedestrian,False,0,0,Grievous
51.0,Pothencode,2289/2021,8.607493,76.89663,5.4,2.0,2021-09-21,Tuesday,September,2021,17.45,D,2.0,5,3.0,1.0,1.0,1.0,0.0,F,straight,no,yes,yes,2.0,no,Day,2021.0,9,21,Tuesday,38,17.0,45.0,12-18,2,Vehicle to Vehicle,False,5,Head On Collision,False,3,Car/Jeep/Taxi,False,1,Motorised Two-Wheeler,False,0,0,Fatal
52.0,Pothencode,2261/2021,8.602619,76.897657,4.8,2.0,2021-08-14,Saturday,August,2021,9.0,D,2.0,1,3.0,1.0,0.0,1.0,1.0,G,straight,no,yes,yes,0.0,yes,Day,2021.0,8,14,Saturday,32,9.0,0.0,6-12,2,Vehicle to Vehicle,False,1,Hit from Back,False,3,Car/Jeep/Taxi,False,1,Motorised Two-Wheeler,False,1,0,Grievous
53.0,Pothencode,2432/2021,8.628838,76.902029,8.2,2.0,2021-11-28,Sunday,November,2021,15.45,D,2.0,5,3.0,1.0,1.0,1.0,0.0,F,curve,no,yes,no,0.0,yes,Day,2021.0,11,28,Sunday,47,15.0,45.0,12-18,2,Vehicle to Vehicle,False,5,Head On Collision,False,3,Car/Jeep/Taxi,False,1,Motorised Two-Wheeler,False,1,0,Fatal
54.0,Pothencode,2475/2021,8.602583,76.897657,4.8,2.0,2021-12-18,Saturday,December,2021,14.3,D,2.0,2,2.0,1.0,0.0,1.0,1.0,G,straight,no,yes,yes,0.0,yes,Day,2021.0,12,18,Saturday,50,14.0,30.0,12-18,2,Vehicle to Vehicle,False,2,Hit from Side,False,2,Passenger Auto,False,1,Motorised Two-Wheeler,False,1,0,Grievous
55.0,Pothencode,2461/2021,8.637512,76.902244,9.3,2.0,2021-12-03,Friday,December,2021,18.0,D,2.0,1,1.0,1.0,0.0,1.0,0.0,G,curve,no,yes,no,1.0,no,Day,2021.0,12,3,Friday,48,18.0,0.0,18-24,2,Vehicle to Vehicle,False,1,Hit from Back,False,1,Motorised Two-Wheeler,False,1,Motorised Two-Wheeler,False,0,0,Grievous
56.0,Pothencode,2456/2021,8.587625,76.877815,1.8,2.0,2021-12-11,Saturday,December,2021,19.3,N,2.0,5,1.0,1.0,1.0,0.0,0.0,F,curve,no,yes,no,0.0,no,Night,2021.0,12,11,Saturday,49,19.0,30.0,18-24,2,Vehicle to Vehicle,False,5,Head On Collision,False,1,Motorised Two-Wheeler,False,1,Motorised Two-Wheeler,False,1,1,Fatal
57.0,Pothencode,2470/2021,8.589704,76.880964,2.3,2.0,2021-12-18,Saturday,December,2021,22.0,N,2.0,2,3.0,8.0,1.0,0.0,0.0,F,curve,no,yes,no,2.0,no,Night,2021.0,12,18,Saturday,50,22.0,0.0,18-24,2,Vehicle to Vehicle,False,2,Hit from Side,False,3,Car/Jeep/Taxi,False,8,Truck/Lorry,False,1,1,Fatal
58.0,Pothencode,2455/2021,8.602583,76.897657,4.8,2.0,2021-11-06,Saturday,November,2021,14.35,D,2.0,2,3.0,1.0,0.0,1.0,0.0,G,straight,no,yes,yes,0.0,yes,Day,2021.0,11,6,Saturday,44,14.0,35.0,12-18,2,Vehicle to Vehicle,False,2,Hit from Side,False,3,Car/Jeep/Taxi,False,1,Motorised Two-Wheeler,False,1,0,Grievous
59.0,Pothencode,2449/2021,8.593394,76.88624,3.0,2.0,2021-12-03,Friday,December,2021,8.3,D,2.0,1,3.0,1.0,0.0,1.0,0.0,G,straight,no,yes,no,1.0,no,Day,2021.0,12,3,Friday,48,8.0,30.0,6-12,2,Vehicle to Vehicle,False,1,Hit from Back,False,3,Car/Jeep/Taxi,False,1,Motorised Two-Wheeler,False,0,0,Grievous
60.0,Pothencode,2438/2021,8.602583,76.897657,4.8,2.0,2021-11-09,Tuesday,November,2021,18.45,N,2.0,2,3.0,1.0,0.0,1.0,0.0,G,straight,no,yes,yes,0.0,yes,Night,2021.0,11,9,Tuesday,45,18.0,45.0,18-24,2,Vehicle to Vehicle,False,2,Hit from Side,False,3,Car/Jeep/Taxi,False,1,Motorised Two-Wheeler,False,0,1,Grievous
61.0,Pothencode,2476/2021,8.616372,76.897293,6.4,2.0,2021-11-22,Monday,November,2021,20.3,N,2.0,5,1.0,1.0,0.0,2.0,0.0,G,straight,no,yes,no,1.0,no,Night,2021.0,11,22,Monday,47,20.0,30.0,18-24,2,Vehicle to Vehicle,False,5,Head On Collision,False,1,Motorised Two-Wheeler,False,1,Motorised Two-Wheeler,False,0,1,Grievous
62.0,Pothencode,04/2022,8.602583,76.897657,4.8,2.0,2021-12-18,Saturday,December,2021,13.0,D,2.0,2,1.0,1.0,0.0,1.0,0.0,G,straight,no,yes,yes,0.0,yes,Day,2021.0,12,18,Saturday,50,13.0,0.0,12-18,2,Vehicle to Vehicle,False,2,Hit from Side,False,1,Motorised Two-Wheeler,False,1,Motorised Two-Wheeler,False,1,0,Grievous
63.0,Pothencode,44/2022,8.616372,76.897293,6.4,1.0,2021-12-21,Tuesday,December,2021,8.3,D,1.0,8,1.0,11.0,0.0,1.0,0.0,G,straight,no,yes,no,1.0,no,Day,2021.0,12,21,Tuesday,51,8.0,30.0,6-12,1,Single Vehicle,False,8,Hit Pedestrian,False,1,Motorised Two-Wheeler,False,11,Pedestrian,False,0,0,Grievous
